opposite sign                            	nevts: 771/447/664/585/2467
1	5887	1765599
1	5887	1765602
1	5887	1765619
1	5887	1765639
1	5887	1765640
1	5887	1765645
1	5887	1765647
1	5887	1765658
1	5887	1765660
1	5887	1765672
1	5887	1765680
1	5887	1765695
1	5887	1765713
1	5887	1765718
1	5887	1765721
1	5887	1765730
1	5887	1765750
1	5887	1765753
1	5887	1765777
1	5887	1765787
1	5887	1765796
1	6100	1829412
1	6100	1829419
1	6100	1829423
1	6100	1829440
1	6100	1829446
1	6100	1829465
1	6100	1829467
1	6100	1829477
1	6100	1829481
1	6100	1829487
1	6100	1829524
1	6100	1829530
1	6100	1829538
1	6100	1829552
1	6100	1829554
1	6100	1829564
1	6100	1829573
1	6100	1829574
1	6100	1829576
1	6100	1829600
1	6100	1829609
1	6100	1829614
1	6100	1829617
1	6100	1829631
1	6100	1829638
1	6100	1829654
1	6100	1829676
1	6100	1829680
1	6100	1829687
1	6100	1829689
1	6100	1829690
1	6164	1848601
1	6164	1848606
1	6164	1848612
1	6164	1848615
1	6164	1848629
1	6164	1848632
1	6164	1848636
1	6164	1848642
1	6164	1848647
1	6164	1848652
1	6164	1848654
1	6164	1848660
1	6164	1848664
1	6164	1848670
1	6164	1848682
1	6164	1848705
1	6164	1848720
1	6164	1848722
1	6164	1848727
1	6164	1848755
1	6164	1848756
1	6164	1848766
1	6164	1848794
1	6164	1848814
1	6164	1848822
1	6164	1848825
1	6164	1848839
1	6164	1848844
1	6164	1848862
1	6164	1848868
1	6164	1848889
1	6164	1848900
1	6171	1850701
1	6171	1850734
1	6171	1850746
1	6171	1850748
1	6171	1850753
1	6171	1850770
1	6171	1850773
1	6171	1850786
1	6171	1850795
1	6171	1850798
1	6171	1850801
1	6171	1850811
1	6171	1850853
1	6171	1850855
1	6171	1850856
1	6171	1850861
1	6171	1850870
1	6171	1850901
1	6171	1850924
1	6171	1850926
1	6171	1850930
1	6171	1850932
1	6171	1850965
1	6171	1850976
1	6171	1850985
1	6171	1850987
1	7126	2137115
1	7126	2137123
1	7126	2137124
1	7126	2137132
1	7126	2137141
1	7126	2137160
1	7126	2137169
1	7126	2137178
1	7126	2137181
1	7126	2137204
1	7126	2137248
1	7126	2137253
1	7126	2137261
1	7126	2137311
1	7126	2137324
1	7126	2137333
1	7126	2137346
